name,yield,price,cost,costCont,Nreq,IEprevcrop,DEcrop,NboostperTonne,weedsurvival,compindex,sowdensity,weedseedreturn,watermult,label,hide
field pea,0.8,310,265,266,0,0.01,0.001,30,0.005,0.07,45,1,1,Fp,y
canola,0.6,500,250,250,70,0.01,0.001,0,0.01,0.08,60,1,1,C,n
wheat,2.38,270,270,270,80,0.5,0.5,0,0.1,0.091,150,1,1,W,n
barley,2.2,265,200,200,60,0.5,0.5,0,0.1,0.1,150,1,1,B,y
wheatJ,2.83,270,200,200,80,0.5,0.5,0,0.1,0.091,150,1,1,Wj,y
Oats,2,120,200,200,80,0.4,0.5,0,0.12,0.12,150,1,1,O,y
Oaten hay,6.4,145,380,380,90,0.4,0.5,3,0.12,0.12,150,0.01,1,OH,y
GM,4.65,0,75,75,30,0.4,0.5,20,0.12,0.091,120,0.01,1,GM,n
Lupin,1,240,240,240,0,0.01,0.001,35,0.01,0.07,45,1,1,L,n
Fallow,1,0,50,50,0,0.01,0.001,20,0,0.00001,1,0,1,Fa,y
wheatcap,2.38,270,280,270,80,0.5,1,0,0.1,0.091,150,0.2,1,Wcap,n
