iden,year,name,profit,cumprofit,income,yield,cost,Ncost,disease,diseaseImpact,weedpenalty,newN,newseedbank
,0,wheat,50.788405868196691,50.788405868196691,640.6884058681967,1.8305383024805619,350.0,239.9,0.33333333333333331,0.072844236405949433,0.10256410256410253,0.0,128.34319526627218
,1,lupins harvested,-64.997809809122657,-14.209403940925966,281.58125283250246,1.1263250113300098,350.0,0.0,0.41421356237309503,1e-05,0.24910915020482882,56.31625056650049,459.3414283683886
,2,sprayed pasture,-207.575,-221.78440394092596,0.0,2.2986145083334844,230.0,0.0,0.1,1e-05,0.2337875017638562,57.46536270833711,218.57141728813832
,3,wheat,156.49761020714018,-65.286793733785771,657.60038431610337,1.8788582409031525,350.0,125.06927458332578,0.1,0.035714285714285726,0.11434291674598873,0.0,554.2531597251652
,4,lupins harvested,-66.226170939322316,-131.51296467310809,268.6916356512644,1.0747665426050577,350.0,0.0,0.25,1e-05,0.28348180641469234,53.738327130252884,1897.946759523543
,5,sprayed pasture,-177.96961562499996,-309.48258029810802,0.0,2.030088085983403,230.0,0.0,0.1,1e-05,0.3232972043109087,50.75220214958508,841.9538680706164
,6,wheat,101.93122715833056,-207.55135313977746,627.16020138933118,1.7918862896838033,350.0,138.49559570082982,0.1,0.035714285714285726,0.155339796108645,0.0,2043.9905781107616
,7,lupins harvested,-82.677521327517567,-290.22887446729504,231.6080398541132,0.9264321594164528,350.0,0.0,0.25,1e-05,0.38237238411287255,46.32160797082264,6089.710740066507
,8,sprayed pasture,-152.58669919648432,-442.81557366377933,0.0,1.5145509752977213,230.0,0.0,0.1,1e-05,0.49514462634702305,37.86377438244303,2324.7344968146376
,9,wheat,31.943078449251203,-410.87249521452816,564.95568545378444,1.6141591012965268,350.0,164.27245123511392,0.1,0.035714285714285726,0.23911692194776513,0.0,5130.048805975327
